z_max_px,Rtheta_px,Rtheta_SE_px,RMSE_quadratic_px,abs_c4_over_SE
40,88.6338825617385,6.713124697258457,1.9609397675195654,6.8357637083328004
45,93.51977295741436,5.394455048100766,1.898296816521982,3.858005169871002
50,97.73894290326236,4.367613800335451,1.8295268896604593,3.6412860866900187
55,106.24105716640109,4.239089982247889,1.905646282895058,5.1401218837209255
60,112.87815127870813,3.9156593539599323,1.9368165799687265,5.97737193682153
65,113.61695892388106,3.1627340767029115,1.884933128388784,3.8902275062320055
70,115.82853067917728,2.6576394673532486,1.8331056765215552,3.8594629671962695
75,117.9578110686657,2.3082435734696385,1.8231683944374868,3.841993027523824
80,117.26685253695584,1.880068754373237,1.764756915319329,2.430534053445222
85,118.65728597337743,1.6289636575036297,1.7370739205775736,2.8990047112770343
90,118.03388775572463,1.3776098431945536,1.711972996716933,1.8076887040210554
95,118.47859477401681,1.1958564091704602,1.6878388424447848,1.8042193483976778
100,118.88329820305354,1.0499142095436198,1.672604641782708,1.8130953202965268
105,117.52929618577897,0.950761185299025,1.7502656826041065,0.3265437415731484
110,115.56796436470775,0.8901131778209851,1.903200236108044,2.841068139636853
115,113.51449112915785,0.867131614906847,2.147087344465625,5.328596600398018
120,112.24722114278235,0.7896268888794149,2.223540720558583,6.536389679408833
125,110.65077244475741,0.7496574189280889,2.4052275043441944,8.493603346232899
130,109.86559800229044,0.6794374877643932,2.438508147737826,8.804624254665187
135,107.37704908174176,0.756539480686193,3.1232116897913627,12.534122648757819
140,105.21454411602653,0.7766649610676951,3.6566595454039463,16.039553203727273
145,102.5936995156992,0.834888431445684,4.512509969567986,20.14101790082769
150,101.49680613209438,0.7712158645759795,4.634935672276547,19.06167554583782
155,99.13788829913874,0.8146054988440123,5.5690215896319115,22.552058175683136
160,96.46191221999712,0.8754723544078352,6.843106067023899,26.232576870323836
